Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_001,Easy,Serial,1,1,0.016457111,1
easy_001,Easy,Serial,1,2,0.016411515,1
easy_001,Easy,Serial,1,3,0.016606360,1
easy_001,Easy,Serial,1,4,0.016240665,1
easy_001,Easy,Serial,1,5,0.016217038,1
easy_001,Easy,Serial-MRV,1,1,0.003876135,1
easy_001,Easy,Serial-MRV,1,2,0.003841872,1
easy_001,Easy,Serial-MRV,1,3,0.003842035,1
easy_001,Easy,Serial-MRV,1,4,0.003856839,1
easy_001,Easy,Serial-MRV,1,5,0.003840657,1
easy_001,Easy,DLX,1,1,0.000440515,1
easy_001,Easy,DLX,1,2,0.000283490,1
easy_001,Easy,DLX,1,3,0.000282322,1
easy_001,Easy,DLX,1,4,0.000288209,1
easy_001,Easy,DLX,1,5,0.000281155,1
easy_001,Easy,DLX-OMP,4,1,0.000959226,1
easy_001,Easy,DLX-OMP,4,2,0.000776890,1
easy_001,Easy,DLX-OMP,4,3,0.000698907,1
easy_001,Easy,DLX-OMP,4,4,0.000498869,1
easy_001,Easy,DLX-OMP,4,5,0.000698512,1
easy_001,Easy,DLX-OMP,8,1,0.001538618,1
easy_001,Easy,DLX-OMP,8,2,0.000543380,1
easy_001,Easy,DLX-OMP,8,3,0.000768537,1
easy_001,Easy,DLX-OMP,8,4,0.000506104,1
easy_001,Easy,DLX-OMP,8,5,0.000722917,1
easy_001,Easy,DLX-OMP,16,1,0.001633298,1
easy_001,Easy,DLX-OMP,16,2,0.000779132,1
easy_001,Easy,DLX-OMP,16,3,0.000548927,1
easy_001,Easy,DLX-OMP,16,4,0.000730353,1
easy_001,Easy,DLX-OMP,16,5,0.000741382,1
easy_001,Easy,OpenMP,4,1,0.004293130,1
easy_001,Easy,OpenMP,4,2,0.003937873,1
easy_001,Easy,OpenMP,4,3,0.003942909,1
easy_001,Easy,OpenMP,4,4,0.003983426,1
easy_001,Easy,OpenMP,4,5,0.003967777,1
easy_001,Easy,OpenMP,8,1,0.004113772,1
easy_001,Easy,OpenMP,8,2,0.003965781,1
easy_001,Easy,OpenMP,8,3,0.004013450,1
easy_001,Easy,OpenMP,8,4,0.003981236,1
easy_001,Easy,OpenMP,8,5,0.003999030,1
easy_001,Easy,OpenMP,16,1,0.004475624,1
easy_001,Easy,OpenMP,16,2,0.004163156,1
easy_001,Easy,OpenMP,16,3,0.004433351,1
easy_001,Easy,OpenMP,16,4,0.004047836,1
easy_001,Easy,OpenMP,16,5,0.004092607,1
easy_002,Easy,Serial,1,1,0.005139306,1
easy_002,Easy,Serial,1,2,0.005047001,1
easy_002,Easy,Serial,1,3,0.005062221,1
easy_002,Easy,Serial,1,4,0.005044585,1
easy_002,Easy,Serial,1,5,0.005065566,1
easy_002,Easy,Serial-MRV,1,1,0.002394770,1
easy_002,Easy,Serial-MRV,1,2,0.002396507,1
easy_002,Easy,Serial-MRV,1,3,0.002412856,1
easy_002,Easy,Serial-MRV,1,4,0.002398220,1
easy_002,Easy,Serial-MRV,1,5,0.002396498,1
easy_002,Easy,DLX,1,1,0.000176283,1
easy_002,Easy,DLX,1,2,0.000163711,1
easy_002,Easy,DLX,1,3,0.000161451,1
easy_002,Easy,DLX,1,4,0.000160510,1
easy_002,Easy,DLX,1,5,0.000161039,1
easy_002,Easy,DLX-OMP,4,1,0.000409808,1
easy_002,Easy,DLX-OMP,4,2,0.000441515,1
easy_002,Easy,DLX-OMP,4,3,0.000423433,1
easy_002,Easy,DLX-OMP,4,4,0.000419204,1
easy_002,Easy,DLX-OMP,4,5,0.000410015,1
easy_002,Easy,DLX-OMP,8,1,0.000626702,1
easy_002,Easy,DLX-OMP,8,2,0.000437707,1
easy_002,Easy,DLX-OMP,8,3,0.000410424,1
easy_002,Easy,DLX-OMP,8,4,0.000580567,1
easy_002,Easy,DLX-OMP,8,5,0.000411442,1
easy_002,Easy,DLX-OMP,16,1,0.001922593,1
